label,arp_opcode,arp_src_hw_mac,arp_src_proto_ipv4,arp_dst_hw_mac,arp_dst_proto_ipv4,frame_len
0,1,02:00:00:1f:85:43,192.168.1.221,ff:ff:ff:ff:ff:ff,192.168.1.230,46
0,1,02:00:00:c0:4f:68,192.168.1.135,ff:ff:ff:ff:ff:ff,192.168.1.46,51
0,1,02:00:00:07:3b:79,192.168.1.229,ff:ff:ff:ff:ff:ff,192.168.1.106,49
0,2,02:00:00:72:2a:61,192.168.1.98,02:00:00:94:8b:28,192.168.1.60,61
0,1,02:00:00:a9:f6:76,192.168.1.21,ff:ff:ff:ff:ff:ff,192.168.1.116,47
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:6c:9e:f6,192.168.1.251,46
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.160,57
0,1,02:00:00:09:eb:bd,192.168.1.67,ff:ff:ff:ff:ff:ff,192.168.1.53,59
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.144,49
0,1,02:00:00:a9:f6:76,192.168.1.21,ff:ff:ff:ff:ff:ff,192.168.1.104,60
0,1,02:00:00:a7:af:d3,192.168.1.179,ff:ff:ff:ff:ff:ff,192.168.1.250,53
0,2,02:00:00:b2:e9:41,192.168.1.104,02:00:00:3c:0d:6b,192.168.1.214,50
0,1,02:00:00:72:2a:61,192.168.1.98,ff:ff:ff:ff:ff:ff,192.168.1.115,64
0,1,02:00:00:3c:0d:6b,192.168.1.214,ff:ff:ff:ff:ff:ff,192.168.1.66,51
0,1,02:00:00:94:8b:28,192.168.1.60,ff:ff:ff:ff:ff:ff,192.168.1.221,44
0,1,02:00:00:06:d1:36,192.168.1.53,ff:ff:ff:ff:ff:ff,192.168.1.144,60
0,2,02:00:00:1b:84:fd,192.168.1.220,02:00:00:ce:7e:50,192.168.1.46,58
0,1,02:00:00:09:eb:bd,192.168.1.67,ff:ff:ff:ff:ff:ff,192.168.1.179,57
0,2,02:00:00:58:04:51,192.168.1.72,02:00:00:72:2a:61,192.168.1.98,62
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.7,47
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:d0:27:cc,192.168.1.230,44
0,2,02:00:00:00:3d:33,192.168.1.69,02:00:00:e4:97:80,192.168.1.66,49
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:19:21:17,192.168.1.116,62
0,2,02:00:00:86:2d:a5,192.168.1.106,02:00:00:72:2a:61,192.168.1.98,44
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:b0:88:a8,192.168.1.59,63
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.251,62
0,2,02:00:00:42:98:7d,192.168.1.200,02:00:00:6c:9e:f6,192.168.1.251,48
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:01:f8:99,192.168.1.167,55
0,1,02:00:00:c1:cc:0f,192.168.1.254,ff:ff:ff:ff:ff:ff,192.168.1.229,49
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:7e:4e:a4,192.168.1.184,57
0,2,02:00:00:bd:da:2a,192.168.1.7,00:00:0A:BB:CC:01,192.168.1.1,58
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.60,60
0,2,02:00:00:16:97:af,192.168.1.18,02:00:00:1b:84:fd,192.168.1.220,60
0,1,02:00:00:c1:cf:06,192.168.1.137,ff:ff:ff:ff:ff:ff,192.168.1.237,63
0,2,02:00:00:19:7c:6b,192.168.1.25,02:00:00:8f:ee:25,192.168.1.160,54
0,2,02:00:00:19:21:17,192.168.1.116,02:00:00:99:99:03,192.168.1.194,47
0,1,02:00:00:3c:0d:6b,192.168.1.214,ff:ff:ff:ff:ff:ff,192.168.1.137,51
0,2,02:00:00:c0:4f:68,192.168.1.135,02:00:00:42:98:7d,192.168.1.200,55
0,2,02:00:00:8b:dd:ba,192.168.1.51,02:00:00:17:a5:d7,192.168.1.88,44
0,2,02:00:00:c9:2d:60,192.168.1.118,02:00:00:06:d1:36,192.168.1.53,61
0,1,02:00:00:30:71:01,192.168.1.127,ff:ff:ff:ff:ff:ff,192.168.1.181,48
0,1,02:00:00:72:2a:61,192.168.1.98,ff:ff:ff:ff:ff:ff,192.168.1.184,43
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:19:7c:6b,192.168.1.25,42
0,1,02:00:00:d0:27:cc,192.168.1.230,ff:ff:ff:ff:ff:ff,192.168.1.194,45
0,2,02:00:00:b2:e9:41,192.168.1.104,02:00:00:57:01:f9,192.168.1.237,62
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:60:d1:b2,192.168.1.250,64
0,2,02:00:00:1c:fb:87,192.168.1.6,00:00:0A:BB:CC:01,192.168.1.1,43
1,2,DE:AD:BE:EF:00:01,192.168.1.28,00:00:0A:BB:CC:01,192.168.1.1,47
0,2,02:00:00:9d:24:70,192.168.1.219,02:00:00:a1:8b:70,192.168.1.115,55
0,2,02:00:00:7e:4e:a4,192.168.1.184,02:00:00:f5:cc:5c,192.168.1.145,43
0,2,02:00:00:17:a5:d7,192.168.1.88,02:00:00:5e:27:82,192.168.1.89,49
0,2,02:00:00:c0:4f:68,192.168.1.135,02:00:00:8f:60:ba,192.168.1.58,53
0,1,02:00:00:e0:c7:c3,192.168.1.181,ff:ff:ff:ff:ff:ff,192.168.1.144,42
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.98,58
0,2,02:00:00:7e:4e:a4,192.168.1.184,02:00:00:5e:27:82,192.168.1.89,61
0,1,02:00:00:e4:3e:86,192.168.1.144,ff:ff:ff:ff:ff:ff,192.168.1.18,48
0,2,02:00:00:b2:e9:41,192.168.1.104,02:00:00:9d:24:70,192.168.1.219,61
1,2,DE:AD:BE:EF:00:01,192.168.1.219,00:00:0A:BB:CC:01,192.168.1.1,43
1,2,DE:AD:BE:EF:00:01,192.168.1.118,00:00:0A:BB:CC:01,192.168.1.1,60
0,1,02:00:00:b0:88:a8,192.168.1.59,ff:ff:ff:ff:ff:ff,192.168.1.66,62
0,2,02:00:00:00:3d:33,192.168.1.69,02:00:00:1c:fb:87,192.168.1.6,49
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:19:21:17,192.168.1.116,51
0,2,02:00:00:c0:4f:68,192.168.1.135,02:00:00:16:97:af,192.168.1.18,56
0,2,02:00:00:8f:60:ba,192.168.1.58,02:00:00:60:d1:b2,192.168.1.250,61
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:e4:97:80,192.168.1.66,61
0,2,02:00:00:1c:fb:87,192.168.1.6,02:00:00:16:97:af,192.168.1.18,50
1,2,DE:AD:BE:EF:00:01,192.168.1.220,00:00:0A:BB:CC:01,192.168.1.1,60
0,2,02:00:00:01:f8:99,192.168.1.167,02:00:00:5e:27:82,192.168.1.89,51
0,2,02:00:00:c0:4f:68,192.168.1.135,02:00:00:a1:8b:70,192.168.1.115,44
1,2,DE:AD:BE:EF:00:01,192.168.1.194,00:00:0A:BB:CC:01,192.168.1.1,42
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:c0:4f:68,192.168.1.135,43
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:e4:97:80,192.168.1.66,53
0,2,02:00:00:09:eb:bd,192.168.1.67,02:00:00:30:71:01,192.168.1.127,46
0,2,02:00:00:5e:27:82,192.168.1.89,02:00:00:c1:cc:0f,192.168.1.254,56
0,1,02:00:00:5e:27:82,192.168.1.89,ff:ff:ff:ff:ff:ff,192.168.1.58,58
0,2,02:00:00:17:a5:d7,192.168.1.88,02:00:00:a9:f6:76,192.168.1.21,42
0,1,02:00:00:00:3d:33,192.168.1.69,ff:ff:ff:ff:ff:ff,192.168.1.214,50
0,1,02:00:00:99:99:03,192.168.1.194,ff:ff:ff:ff:ff:ff,192.168.1.6,56
1,2,DE:AD:BE:EF:00:01,192.168.1.254,00:00:0A:BB:CC:01,192.168.1.1,63
0,1,02:00:00:57:01:f9,192.168.1.237,ff:ff:ff:ff:ff:ff,192.168.1.184,60
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:9d:24:70,192.168.1.219,53
0,2,02:00:00:7d:c8:14,192.168.1.28,02:00:00:e4:97:80,192.168.1.66,48
0,1,02:00:00:1f:85:43,192.168.1.221,ff:ff:ff:ff:ff:ff,192.168.1.67,50
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:00:3d:33,192.168.1.69,59
0,1,02:00:00:1c:fb:87,192.168.1.6,ff:ff:ff:ff:ff:ff,192.168.1.11,61
0,2,02:00:00:8b:dd:ba,192.168.1.51,02:00:00:ce:7e:50,192.168.1.46,47
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:c1:cf:06,192.168.1.137,57
0,2,02:00:00:09:eb:bd,192.168.1.67,02:00:00:c9:2d:60,192.168.1.118,63
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:01:f8:99,192.168.1.167,51
0,1,02:00:00:30:71:01,192.168.1.127,ff:ff:ff:ff:ff:ff,192.168.1.88,59
1,2,DE:AD:BE:EF:00:01,192.168.1.53,00:00:0A:BB:CC:01,192.168.1.1,63
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.184,60
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:7e:4e:a4,192.168.1.184,48
0,2,02:00:00:c9:2d:60,192.168.1.118,02:00:00:f9:f7:4e,192.168.1.57,63
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:a1:8b:70,192.168.1.115,43
0,2,02:00:00:a9:f6:76,192.168.1.21,02:00:00:17:a5:d7,192.168.1.88,57
0,1,02:00:00:b0:88:a8,192.168.1.59,ff:ff:ff:ff:ff:ff,192.168.1.184,42
0,2,02:00:00:1c:fb:87,192.168.1.6,02:00:00:e4:3e:86,192.168.1.144,55
0,1,02:00:00:5e:27:82,192.168.1.89,ff:ff:ff:ff:ff:ff,192.168.1.6,42
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.145,42
0,1,02:00:00:e4:97:80,192.168.1.66,ff:ff:ff:ff:ff:ff,192.168.1.118,55
0,1,02:00:00:8f:60:ba,192.168.1.58,ff:ff:ff:ff:ff:ff,192.168.1.145,42
0,2,02:00:00:19:7c:6b,192.168.1.25,02:00:00:d0:27:cc,192.168.1.230,55
1,2,DE:AD:BE:EF:00:01,192.168.1.251,00:00:0A:BB:CC:01,192.168.1.1,46
0,2,02:00:00:b0:88:a8,192.168.1.59,02:00:00:8b:dd:ba,192.168.1.51,55
0,1,02:00:00:1b:84:fd,192.168.1.220,ff:ff:ff:ff:ff:ff,192.168.1.194,50
0,1,02:00:00:d0:27:cc,192.168.1.230,ff:ff:ff:ff:ff:ff,192.168.1.58,64
1,2,DE:AD:BE:EF:00:01,192.168.1.219,00:00:0A:BB:CC:01,192.168.1.1,63
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:57:01:f9,192.168.1.237,48
0,1,02:00:00:57:01:f9,192.168.1.237,ff:ff:ff:ff:ff:ff,192.168.1.116,42
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:86:2d:a5,192.168.1.106,54
1,2,DE:AD:BE:EF:00:01,192.168.1.33,00:00:0A:BB:CC:01,192.168.1.1,64
0,1,02:00:00:1c:fb:87,192.168.1.6,ff:ff:ff:ff:ff:ff,192.168.1.184,64
0,1,02:00:00:7e:4e:a4,192.168.1.184,ff:ff:ff:ff:ff:ff,192.168.1.127,44
1,2,DE:AD:BE:EF:00:01,192.168.1.25,00:00:0A:BB:CC:01,192.168.1.1,44
0,1,02:00:00:8f:60:ba,192.168.1.58,ff:ff:ff:ff:ff:ff,192.168.1.167,47
0,1,02:00:00:01:f8:99,192.168.1.167,ff:ff:ff:ff:ff:ff,192.168.1.25,59
0,2,02:00:00:50:fd:f3,192.168.1.123,02:00:00:c0:4f:68,192.168.1.135,54
0,2,02:00:00:b0:88:a8,192.168.1.59,02:00:00:1f:85:43,192.168.1.221,63
0,1,02:00:00:d0:27:cc,192.168.1.230,ff:ff:ff:ff:ff:ff,192.168.1.25,60
0,1,02:00:00:5e:27:82,192.168.1.89,ff:ff:ff:ff:ff:ff,192.168.1.60,47
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.220,49
0,2,02:00:00:9d:24:70,192.168.1.219,02:00:00:c9:2d:60,192.168.1.118,56
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:8b:dd:ba,192.168.1.51,59
0,2,02:00:00:50:fd:f3,192.168.1.123,02:00:00:9d:24:70,192.168.1.219,50
0,1,02:00:00:b0:88:a8,192.168.1.59,ff:ff:ff:ff:ff:ff,192.168.1.229,58
0,2,02:00:00:b0:88:a8,192.168.1.59,02:00:00:e4:3e:86,192.168.1.144,51
0,1,02:00:00:19:7c:6b,192.168.1.25,ff:ff:ff:ff:ff:ff,192.168.1.1,59
0,2,02:00:00:a7:af:d3,192.168.1.179,02:00:00:bd:da:2a,192.168.1.7,63
0,1,02:00:00:8b:dd:ba,192.168.1.51,ff:ff:ff:ff:ff:ff,192.168.1.67,63
0,1,02:00:00:06:d1:36,192.168.1.53,ff:ff:ff:ff:ff:ff,192.168.1.116,58
0,2,02:00:00:99:99:03,192.168.1.194,02:00:00:a7:af:d3,192.168.1.179,59
0,2,02:00:00:19:7c:6b,192.168.1.25,02:00:00:09:eb:bd,192.168.1.67,51
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:a7:af:d3,192.168.1.179,48
1,2,DE:AD:BE:EF:00:01,192.168.1.51,00:00:0A:BB:CC:01,192.168.1.1,48
0,1,02:00:00:8f:ee:25,192.168.1.160,ff:ff:ff:ff:ff:ff,192.168.1.53,44
0,1,00:00:0A:BB:CC:01,192.168.1.1,ff:ff:ff:ff:ff:ff,192.168.1.229,44
0,2,02:00:00:1b:84:fd,192.168.1.220,02:00:00:3c:0d:6b,192.168.1.214,56
1,2,DE:AD:BE:EF:00:01,192.168.1.7,00:00:0A:BB:CC:01,192.168.1.1,61
0,1,02:00:00:1c:fb:87,192.168.1.6,ff:ff:ff:ff:ff:ff,192.168.1.72,53
0,2,02:00:00:d0:27:cc,192.168.1.230,02:00:00:ce:7e:50,192.168.1.46,62
0,2,02:00:00:19:7c:6b,192.168.1.25,02:00:00:42:98:7d,192.168.1.200,51
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:94:8b:28,192.168.1.60,44
0,1,02:00:00:c1:cc:0f,192.168.1.254,ff:ff:ff:ff:ff:ff,192.168.1.184,57
0,2,02:00:00:a9:f6:76,192.168.1.21,02:00:00:00:3d:33,192.168.1.69,51
0,2,02:00:00:94:8b:28,192.168.1.60,02:00:00:30:71:01,192.168.1.127,44
1,2,DE:AD:BE:EF:00:01,192.168.1.137,00:00:0A:BB:CC:01,192.168.1.1,47
0,2,02:00:00:d0:27:cc,192.168.1.230,02:00:00:c1:cc:0f,192.168.1.254,50
0,2,02:00:00:57:c6:40,192.168.1.11,02:00:00:6c:9e:f6,192.168.1.251,63
0,2,02:00:00:c9:2d:60,192.168.1.118,02:00:00:19:7c:6b,192.168.1.25,54
0,1,02:00:00:c9:2d:60,192.168.1.118,ff:ff:ff:ff:ff:ff,192.168.1.98,51
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:b0:88:a8,192.168.1.59,51
0,1,02:00:00:8f:ee:25,192.168.1.160,ff:ff:ff:ff:ff:ff,192.168.1.220,47
0,1,02:00:00:42:98:7d,192.168.1.200,ff:ff:ff:ff:ff:ff,192.168.1.21,45
0,2,02:00:00:86:2d:a5,192.168.1.106,02:00:00:8f:60:ba,192.168.1.58,52
0,2,02:00:00:57:c6:40,192.168.1.11,02:00:00:c9:2d:60,192.168.1.118,47
0,1,02:00:00:17:a5:d7,192.168.1.88,ff:ff:ff:ff:ff:ff,192.168.1.25,63
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.51,54
0,1,02:00:00:58:04:51,192.168.1.72,ff:ff:ff:ff:ff:ff,192.168.1.51,57
0,2,02:00:00:16:97:af,192.168.1.18,02:00:00:7e:4e:a4,192.168.1.184,60
0,2,02:00:00:a7:af:d3,192.168.1.179,02:00:00:a9:f6:76,192.168.1.21,59
0,1,02:00:00:16:97:af,192.168.1.18,ff:ff:ff:ff:ff:ff,192.168.1.11,45
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:6c:9e:f6,192.168.1.251,61
0,2,02:00:00:b0:88:a8,192.168.1.59,02:00:00:e4:97:80,192.168.1.66,61
0,1,02:00:00:7d:c8:14,192.168.1.28,ff:ff:ff:ff:ff:ff,192.168.1.1,56
0,2,02:00:00:42:98:7d,192.168.1.200,02:00:00:b2:e9:41,192.168.1.104,50
0,2,02:00:00:6c:9e:f6,192.168.1.251,02:00:00:1c:fb:87,192.168.1.6,46
0,1,02:00:00:8f:ee:25,192.168.1.160,ff:ff:ff:ff:ff:ff,192.168.1.123,53
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.1,58
0,2,02:00:00:17:a5:d7,192.168.1.88,02:00:00:e4:97:80,192.168.1.66,61
0,2,02:00:00:1f:85:43,192.168.1.221,02:00:00:99:99:03,192.168.1.194,62
0,2,02:00:00:50:fd:f3,192.168.1.123,02:00:00:07:3b:79,192.168.1.229,43
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:8f:ee:25,192.168.1.160,57
0,2,02:00:00:1b:84:fd,192.168.1.220,02:00:00:d0:27:cc,192.168.1.230,63
0,1,02:00:00:e4:3e:86,192.168.1.144,ff:ff:ff:ff:ff:ff,192.168.1.251,58
0,1,02:00:00:c0:4f:68,192.168.1.135,ff:ff:ff:ff:ff:ff,192.168.1.179,64
0,1,02:00:00:42:98:7d,192.168.1.200,ff:ff:ff:ff:ff:ff,192.168.1.145,59
0,2,02:00:00:94:8b:28,192.168.1.60,02:00:00:f5:cc:5c,192.168.1.145,43
0,2,02:00:00:3c:0d:6b,192.168.1.214,02:00:00:57:01:f9,192.168.1.237,49
0,2,02:00:00:bd:da:2a,192.168.1.7,02:00:00:1f:85:43,192.168.1.221,64
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:a7:af:d3,192.168.1.179,44
0,2,02:00:00:01:f8:99,192.168.1.167,02:00:00:17:a5:d7,192.168.1.88,52
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:e0:c7:c3,192.168.1.181,63
0,2,02:00:00:c9:2d:60,192.168.1.118,02:00:00:e4:97:80,192.168.1.66,62
0,2,02:00:00:09:eb:bd,192.168.1.67,02:00:00:19:7c:6b,192.168.1.25,53
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.220,46
0,2,02:00:00:17:a5:d7,192.168.1.88,02:00:00:5e:27:82,192.168.1.89,60
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:f5:cc:5c,192.168.1.145,54
0,2,02:00:00:50:fd:f3,192.168.1.123,02:00:00:30:71:01,192.168.1.127,59
0,1,00:00:0A:BB:CC:01,192.168.1.1,ff:ff:ff:ff:ff:ff,192.168.1.69,58
0,1,02:00:00:1c:fb:87,192.168.1.6,ff:ff:ff:ff:ff:ff,192.168.1.115,63
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:e4:3e:86,192.168.1.144,48
0,2,02:00:00:19:7c:6b,192.168.1.25,02:00:00:a1:8b:70,192.168.1.115,59
0,1,02:00:00:19:7c:6b,192.168.1.25,ff:ff:ff:ff:ff:ff,192.168.1.58,54
0,2,02:00:00:a1:8b:70,192.168.1.115,02:00:00:5e:27:82,192.168.1.89,46
0,1,02:00:00:72:2a:61,192.168.1.98,ff:ff:ff:ff:ff:ff,192.168.1.194,59
0,2,02:00:00:b0:88:a8,192.168.1.59,02:00:00:99:99:03,192.168.1.194,54
0,2,02:00:00:01:f8:99,192.168.1.167,02:00:00:57:01:f9,192.168.1.237,46
0,2,02:00:00:19:21:17,192.168.1.116,02:00:00:57:01:f9,192.168.1.237,63
0,1,02:00:00:e4:3e:86,192.168.1.144,ff:ff:ff:ff:ff:ff,192.168.1.106,62
0,1,02:00:00:3c:0d:6b,192.168.1.214,ff:ff:ff:ff:ff:ff,192.168.1.194,52
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.104,45
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:5e:27:82,192.168.1.89,63
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.181,43
0,1,02:00:00:8f:ee:25,192.168.1.160,ff:ff:ff:ff:ff:ff,192.168.1.18,55
0,1,02:00:00:30:71:01,192.168.1.127,ff:ff:ff:ff:ff:ff,192.168.1.118,47
0,2,02:00:00:19:21:17,192.168.1.116,02:00:00:8f:60:ba,192.168.1.58,47
0,1,02:00:00:1c:fb:87,192.168.1.6,ff:ff:ff:ff:ff:ff,192.168.1.106,46
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.237,62
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:a1:8b:70,192.168.1.115,62
0,1,02:00:00:19:7c:6b,192.168.1.25,ff:ff:ff:ff:ff:ff,192.168.1.11,48
0,1,02:00:00:16:97:af,192.168.1.18,ff:ff:ff:ff:ff:ff,192.168.1.135,63
0,1,02:00:00:01:f8:99,192.168.1.167,ff:ff:ff:ff:ff:ff,192.168.1.57,53
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:e0:c7:c3,192.168.1.181,57
0,2,02:00:00:8f:ee:25,192.168.1.160,02:00:00:c1:cf:06,192.168.1.137,47
0,1,02:00:00:94:8b:28,192.168.1.60,ff:ff:ff:ff:ff:ff,192.168.1.46,61
0,1,02:00:00:ce:7e:50,192.168.1.46,ff:ff:ff:ff:ff:ff,192.168.1.18,56
